"Data","Último","Abertura","Máxima","Mínima","Var%"
"Dez 07","1,7800","1,7901","1,8320","1,7500","-1,01%"
"Nov 07","1,7982","1,7368","1,8723","1,7247","3,54%"
"Out 07","1,7368","1,8325","1,8480","1,7292","-5,25%"
"Set 07","1,8330","1,9610","1,9765","1,8300","-6,86%"
"Ago 07","1,9681","1,8823","2,1396","1,8655","4,57%"
"Jul 07","1,8820","1,9260","1,9440","1,8365","-2,44%"
"Jun 07","1,9290","1,9287","1,9910","1,8945","0,44%"
"Mai 07","1,9205","2,0350","2,0365","1,9165","-5,62%"
"Abr 07","2,0348","2,0600","2,0600","2,0130","-1,18%"
"Mar 07","2,0590","2,1175","2,1520","2,0247","-2,90%"
"Fev 07","2,1204","2,1238","2,1500","2,0638","-0,17%"
"Jan 07","2,1240","2,1367","2,1627","2,1212","-0,59%"
"Dez 06","2,1365","2,1645","2,1745","2,1302","-1,32%"
"Nov 06","2,1650","2,1430","2,2040","2,1307","1,04%"
"Out 06","2,1428","2,1680","2,1800","2,1220","-1,45%"
"Set 06","2,1743","2,1520","2,2370","2,1217","1,44%"
"Ago 06","2,1434","2,1756","2,1985","2,1215","-1,57%"
"Jul 06","2,1775","2,1605","2,2256","2,1545","0,54%"
"Jun 06","2,1659","2,3215","2,3355","2,1535","-6,04%"
"Mai 06","2,3051","2,0870","2,4045","2,0500","10,45%"
"Abr 06","2,0870","2,1658","2,1765","2,0830","-3,56%"
"Mar 06","2,1640","2,1315","2,2458","2,0965","1,91%"
"Fev 06","2,1235","2,2120","2,2405","2,1015","-4,00%"
"Jan 06","2,2120","2,3335","2,3540","2,1960","-5,40%"
"Dez 05","2,3383","2,2039","2,4005","2,1585","6,12%"
"Nov 05","2,2035","2,2505","2,2685","2,1525","-2,14%"
"Out 05","2,2518","2,2355","2,3045","2,2215","1,09%"
"Set 05","2,2275","2,3550","2,3735","2,2060","-5,43%"
"Ago 05","2,3555","2,3850","2,4590","2,2629","-1,03%"
"Jul 05","2,3800","2,3364","2,5127","2,3210","1,87%"
"Jun 05","2,3364","2,3992","2,5060","2,3310","-3,03%"
"Mai 05","2,4095","2,5282","2,5300","2,3630","-4,70%"
"Abr 05","2,5282","2,6660","2,6775","2,5060","-5,66%"
"Mar 05","2,6800","2,5980","2,7858","2,5870","3,49%"
"Fev 05","2,5895","2,6085","2,6525","2,5490","-0,74%"
"Jan 05","2,6088","2,6610","2,7340","2,6055","-1,78%"
"Dez 04","2,6560","2,7170","2,8050","2,6460","-2,35%"
"Nov 04","2,7200","2,8580","2,8730","2,7140","-4,87%"
"Out 04","2,8592","2,8600","2,8950","2,8050","-0,01%"
"Set 04","2,8595","2,9295","2,9435","2,8465","-2,31%"
"Ago 04","2,9270","3,0360","3,0780","2,9220","-3,64%"
"Jul 04","3,0375","3,0865","3,0875","2,9885","-1,57%"
"Jun 04","3,0860","3,1850","3,1710","3,0860","-3,23%"
"Mai 04","3,1890","2,9330","3,2340","2,9420","8,80%"
"Abr 04","2,9310","2,8920","2,9690","2,8670","1,21%"
"Mar 04","2,8960","2,9020","2,9470","2,8580","-0,34%"
"Fev 04","2,9060","2,9270","3,0110","2,8950","-0,97%"
"Jan 04","2,9345","2,8975","2,9730","2,7665","1,49%"
"Dez 03","2,8915","2,9425","2,9525","2,8525","-1,87%"
"Nov 03","2,9465","2,8675","2,9725","2,8445","2,79%"
"Out 03","2,8665","2,8915","2,9195","2,8155","-0,90%"
"Set 03","2,8925","2,9815","3,0005","2,8615","-2,89%"
"Ago 03","2,9785","2,9625","3,0695","2,9355","0,37%"
"Jul 03","2,9675","2,8415","2,9875","2,8025","4,60%"
"Jun 03","2,8370","2,9650","2,9940","2,8000","-4,59%"
"Mai 03","2,9735","2,9115","3,0875","2,8435","2,15%"
"Abr 03","2,9110","3,3650","3,3650","2,8710","-13,47%"
"Mar 03","3,3640","3,5660","3,5850","3,3230","-5,77%"
"Fev 03","3,5700","3,5020","3,6830","3,4500","1,88%"
"Jan 03","3,5040","3,5380","3,6910","3,2380","-1,02%"
"Dez 02","3,5400","3,5550","3,8260","3,4050","-3,09%"
"Nov 02","3,6530","3,6200","3,7330","3,4650","0,08%"
"Out 02","3,6500","3,7440","4,0190","3,5190","-2,93%"
"Set 02","3,7600","3,0100","3,9540","3,0050","25,02%"
"Ago 02","3,0075","3,4525","3,4525","2,8525","-13,08%"
"Jul 02","3,4600","2,8380","3,6260","2,8100","22,80%"
"Jun 02","2,8175","2,5195","2,8915","2,5125","11,89%"
"Mai 02","2,5180","2,3610","2,5520","2,3610","6,65%"
"Abr 02","2,3610","2,3260","2,3770","2,2520","1,55%"
"Mar 02","2,3250","2,3640","2,3860","2,3140","-1,69%"
"Fev 02","2,3650","2,4120","2,4930","2,3360","-1,99%"
"Jan 02","2,4130","2,3110","2,4700","2,2770","4,41%"
"Dez 01","2,3110","2,4940","2,4960","2,2740","-7,37%"
"Nov 01","2,4950","2,6720","2,6720","2,4480","-7,46%"
"Out 01","2,6960","2,6940","2,8070","2,6590","0,97%"
"Set 01","2,6700","2,5653","2,8400","2,5480","4,13%"
"Ago 01","2,5640","2,4790","2,5830","2,4380","3,68%"
"Jul 01","2,4730","2,3180","2,6080","2,3090","7,03%"
"Jun 01","2,3105","2,3795","2,4845","2,2665","-2,96%"
"Mai 01","2,3810","2,2000","2,3860","2,1920","8,18%"
"Abr 01","2,2010","2,1520","2,3110","2,1320","2,23%"
"Mar 01","2,1530","2,0470","2,1780","2,0150","5,21%"
"Fev 01","2,0463","1,9708","2,0507","1,9708","3,82%"
"Jan 01","1,9710","1,9508","1,9810","1,9300","1,08%"
"Dez 00","1,9500","1,9800","1,9900","1,9490","-1,49%"
"Nov 00","1,9795","1,8995","1,9845","1,8925","4,18%"
"Out 00","1,9000","1,8430","1,9460","1,8410","3,06%"
"Set 00","1,8435","1,8235","1,8645","1,8145","1,10%"
"Ago 00","1,8235","1,7745","1,8375","1,7745","2,24%"
"Jul 00","1,7835","1,8025","1,8275","1,7685","-1,30%"
"Jun 00","1,8070","1,8240","1,8300","1,7840","-0,93%"
"Mai 00","1,8240","1,7990","1,8600","1,7960","1,05%"
"Abr 00","1,8050","1,7360","1,8170","1,7360","3,77%"
"Mar 00","1,7395","1,7675","1,7695","1,7085","-1,61%"
"Fev 00","1,7680","1,7840","1,7990","1,7560","-0,90%"
"Jan 00","1,7840","1,8010","1,8700","1,7610","-1,19%"
"Dez 99","1,8055","1,9235","1,9235","1,7795","-6,11%"
"Nov 99","1,9230","1,9480","1,9510","1,9100","-1,28%"
"Out 99","1,9480","1,9370","2,0090","1,9240","0,57%"
"Set 99","1,9370","1,9180","1,9490","1,8560","0,99%"
"Ago 99","1,9180","1,7960","1,9910","1,7960","6,38%"
"Jul 99","1,8030","1,7530","1,8620","1,7460","2,85%"
"Jun 99","1,7530","1,7200","1,8150","1,7200","1,92%"
"Mai 99","1,7200","1,6660","1,7570","1,6430","3,27%"
"Abr 99","1,6655","1,7165","1,7415","1,6315","-3,03%"
"Mar 99","1,7175","1,9725","2,2025","1,7125","-15,60%"
"Fev 99","2,0350","2,0750","2,0850","1,7250","-2,40%"
"Jan 99","2,0850","1,2230","2,1450","1,2217","72,56%"
"Dez 98","1,2083","1,2010","1,2090","1,2003","0,57%"
"Nov 98","1,2015","1,1930","1,2016","1,1875","0,71%"
"Out 98","1,1930","1,1846","1,1930","1,1759","0,73%"
"Set 98","1,1843","1,1770","1,2003","1,1758","0,64%"
"Ago 98","1,1768","1,1637","1,1772","1,1637","1,20%"
"Jul 98","1,1629","1,1568","1,1665","1,1566","0,54%"
"Jun 98","1,1566","1,1515","1,1620","1,1505","0,53%"
"Mai 98","1,1505","1,1439","1,1551","1,1435","0,61%"
"Abr 98","1,1435","1,1372","1,1465","1,1370","0,57%"
"Mar 98","1,1370","1,1301","1,1370","1,1300","0,62%"
"Fev 98","1,1300","1,1234","1,1302","1,1230","0,61%"
"Jan 98","1,1231","1,1160","1,1237","1,1157","0,64%"
"Dez 97","1,1160","1,1096","1,1170","1,1088","0,63%"
"Nov 97","1,1090","1,1025","1,1109","1,1023","0,58%"
"Out 97","1,1026","1,0959","1,1074","1,0959","0,60%"
"Set 97","1,0960","1,0916","1,0961","1,0900","0,39%"
"Ago 97","1,0917","1,0831","1,0934","1,0831","0,81%"
"Jul 97","1,0829","1,0764","1,0833","1,0764","0,59%"
"Jun 97","1,0765","1,0703","1,0783","1,0703","0,58%"
"Mai 97","1,0703","1,0636","1,0741","1,0636","0,64%"
"Abr 97","1,0635","1,0606","1,0635","1,0575","0,25%"
"Mar 97","1,0608","1,0511","1,0617","1,0511","0,93%"
"Fev 97","1,0510","1,0457","1,0519","1,0406","0,51%"
"Jan 97","1,0457","1,0390","1,0463","1,0325","0,64%"
"Dez 96","1,0391","1,0328","1,0418","1,0326","0,62%"
"Nov 96","1,0327","1,0274","1,0333","1,0273","0,51%"
"Out 96","1,0275","1,0212","1,0293","1,0210","0,62%"
"Set 96","1,0212","1,0165","1,0212","1,0161","0,46%"
"Ago 96","1,0165","1,0142","1,0170","1,0087","0,22%"
"Jul 96","1,0143","1,0042","1,0166","1,0042","1,01%"
"Jun 96","1,0042","0,9984","1,0044","0,9974","0,59%"
"Mai 96","0,9983","0,9923","1,0002","0,9922","0,64%"
"Abr 96","0,9920","0,9877","0,9934","0,9865","0,44%"
"Mar 96","0,9877","0,9845","0,9898","0,9823","0,33%"
"Fev 96","0,9845","0,9781","0,9871","0,9780","0,66%"
"Jan 96","0,9780","0,9720","0,9790","0,9719","0,63%"
"Dez 95","0,9719","0,9662","0,9726","0,9661","0,61%"
"Nov 95","0,9660","0,9614","0,9660","0,9607","0,47%"
"Out 95","0,9615","0,9531","0,9629","0,9530","0,90%"
"Set 95","0,9529","0,9490","0,9555","0,9477","0,39%"
"Ago 95","0,9492","0,9348","0,9512","0,9303","1,51%"
"Jul 95","0,9351","0,9191","0,9371","0,9171","1,72%"
"Jun 95","0,9193","0,9052","0,9263","0,9002","1,52%"
"Mai 95","0,9055","0,9175","0,9175","0,8865","-1,31%"
"Abr 95","0,9175","0,8995","0,9225","0,8905","1,94%"
"Mar 95","0,9000","0,8510","0,9210","0,8460","5,82%"
"Fev 95","0,8505","0,8415","0,8535","0,8335","1,19%"
"Jan 95","0,8405","0,8415","0,8560","0,8375","-0,77%"
"Dez 94","0,8470","0,8490","0,8670","0,8410","-0,18%"
"Nov 94","0,8485","0,8445","0,8675","0,8285","0,47%"
"Out 94","0,8445","0,8525","0,8645","0,8225","-1,00%"
"Set 94","0,8530","0,8850","0,8970","0,8490","-3,72%"
"Ago 94","0,8860","0,9390","0,9390","0,8830","-5,39%"
"Jul 94","0,9365","0,9355","0,9455","0,9005","-2,70%"
"Jun 94","0,9625","0,9625","0,9625","0,9625","41,15%"
"Mai 94","0,6819","0,6819","0,6819","0,6819","43,98%"
"Abr 94","0,4736","0,4736","0,4736","0,4736","42,61%"
"Mar 94","0,3321","0,3321","0,3321","0,3321","43,33%"
"Fev 94","0,2317","0,2317","0,2317","0,2317","38,91%"
"Jan 94","0,1668","0,1668","0,1668","0,1668","42,93%"
