"Data","Último","Abertura","Máxima","Mínima","Var%"
"Mar 09","2,3148","2,3148","2,3148","2,3148","-2,66%"
"Fev 09","2,3780","2,3780","2,3780","2,3780","2,69%"
"Jan 09","2,3158","2,3158","2,3158","2,3158","-0,89%"
"Dez 08","2,3366","2,3366","2,3366","2,3366","0,17%"
"Nov 08","2,3327","2,3327","2,3327","2,3327","10,30%"
"Out 08","2,1149","2,1149","2,1149","2,1149","10,50%"
"Set 08","1,9139","1,9139","1,9139","1,9139","17,13%"
"Ago 08","1,6340","1,6340","1,6340","1,6340","4,33%"
"Jul 08","1,5662","1,5662","1,5662","1,5662","-1,59%"
"Jun 08","1,5915","1,5915","1,5915","1,5915","-2,30%"
"Mai 08","1,6290","1,6290","1,6290","1,6290","-3,43%"
"Abr 08","1,6868","1,6868","1,6868","1,6868","-3,54%"
"Mar 08","1,7487","1,7487","1,7487","1,7487","3,91%"
"Fev 08","1,6829","1,6829","1,6829","1,6829","-4,38%"
"Jan 08","1,7599","1,7599","1,7599","1,7599","-0,62%"
"Dez 07","1,7709","1,7709","1,7709","1,7709","-0,70%"
"Nov 07","1,7833","1,7833","1,7833","1,7833","2,28%"
"Out 07","1,7436","1,7436","1,7436","1,7436","-5,16%"
"Set 07","1,8385","1,8385","1,8385","1,8385","-6,28%"
"Ago 07","1,9616","1,9616","1,9616","1,9616","4,50%"
"Jul 07","1,8772","1,8772","1,8772","1,8772","-2,52%"
"Jun 07","1,9258","1,9258","1,9258","1,9258","-0,14%"
"Mai 07","1,9285","1,9285","1,9285","1,9285","-5,16%"
"Abr 07","2,0335","2,0335","2,0335","2,0335","-0,80%"
"Mar 07","2,0500","2,0500","2,0500","2,0500","-3,20%"
"Fev 07","2,1178","2,1178","2,1178","2,1178","-0,31%"
"Jan 07","2,1243","2,1243","2,1243","2,1243","-0,62%"
"Dez 06","2,1376","2,1376","2,1376","2,1376","-1,33%"
"Nov 06","2,1664","2,1664","2,1664","2,1664","1,11%"
"Out 06","2,1426","2,1426","2,1426","2,1426","-1,44%"
"Set 06","2,1738","2,1738","2,1738","2,1738","1,66%"
"Ago 06","2,1384","2,1384","2,1384","2,1384","-1,72%"
"Jul 06","2,1758","2,1758","2,1758","2,1758","0,55%"
"Jun 06","2,1639","2,1639","2,1639","2,1639","-5,92%"
"Mai 06","2,3001","2,3001","2,3001","2,3001","10,12%"
"Abr 06","2,0888","2,0888","2,0888","2,0888","-3,83%"
"Mar 06","2,1720","2,1720","2,1720","2,1720","1,73%"
"Fev 06","2,1351","2,1351","2,1351","2,1351","-3,63%"
"Jan 06","2,2156","2,2156","2,2156","2,2156","-5,33%"
"Dez 05","2,3403","2,3403","2,3403","2,3403","6,06%"
