"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"Mai 03","13.421,60","12.564,69","13.564,80","12.541,69","7,09B","6,89%"
"Abr 03","12.556,70","11.282,62","12.819,92","11.282,62","7,24B","11,38%"
"Mar 03","11.273,63","10.262,88","11.420,99","10.104,25","5,27B","9,66%"
"Fev 03","10.280,61","10.943,23","11.067,09","9.968,08","5,12B","-6,04%"
"Jan 03","10.941,09","11.290,76","12.349,75","10.456,63","7,17B","-2,91%"
"Dez 02","11.268,47","10.516,98","11.648,37","10.307,17","6,16B","7,23%"
"Nov 02","10.508,81","10.172,28","10.518,71","9.569,19","5,41B","3,35%"
"Out 02","10.167,71","8.642,43","10.241,12","8.224,61","7,06B","17,92%"
"Set 02","8.622,54","10.382,72","10.477,18","8.352,30","5,25B","-16,95%"
"Ago 02","10.382,20","9.781,76","10.604,30","9.016,73","7,78B","6,35%"
"Jul 02","9.762,59","11.137,78","11.172,81","9.155,37","6,05B","-12,36%"
"Jun 02","11.139,16","12.858,70","12.919,10","10.246,96","5,02B","-13,39%"
"Mai 02","12.861,43","13.088,29","13.090,11","11.943,26","5,00B","-1,71%"
"Abr 02","13.085,12","13.253,00","13.871,70","13.031,59","5,05B","-1,28%"
"Mar 02","13.254,55","14.047,42","14.495,28","13.182,83","5,01B","-5,55%"
"Fev 02","14.033,29","12.722,73","14.251,38","12.414,79","4,22B","10,31%"
"Jan 02","12.721,45","13.585,79","14.412,54","12.300,70","5,18B","-6,31%"
"Dez 01","13.577,57","12.913,88","13.969,45","12.809,18","5,29B","4,99%"
"Nov 01","12.931,71","11.362,01","13.790,72","11.176,99","5,96B","13,79%"
"Out 01","11.364,71","10.633,44","11.924,34","9.985,16","5,00B","6,85%"
"Set 01","10.635,74","12.848,99","12.947,24","9.532,84","5,02B","-17,17%"
"Ago 01","12.840,60","13.757,49","14.142,76","12.680,97","3,93B","-6,64%"
"Jul 01","13.754,16","14.579,30","14.771,47","13.360,99","3,62B","-5,53%"
"Jun 01","14.559,79","14.654,43","15.644,37","14.164,16","4,35B","-0,62%"
"Mai 01","14.649,98","14.877,14","15.304,03","14.056,40","5,94B","-1,79%"
"Abr 01","14.917,54","14.441,44","15.267,36","13.325,13","4,65B","3,32%"
"Mar 01","14.438,45","15.890,65","16.813,06","13.761,25","4,45B","-9,14%"
"Fev 01","15.891,41","17.670,14","17.673,12","15.558,28","3,44B","-10,08%"
"Jan 01","17.672,77","15.242,11","18.023,08","15.173,61","6,63B","15,82%"
"Dez 00","15.259,29","13.303,40","15.415,17","13.241,57","3,94B","14,84%"
"Nov 00","13.287,39","14.857,88","15.191,43","13.287,39","3,22B","-10,63%"
"Out 00","14.867,23","15.949,78","16.403,82","13.570,68","4,69B","-6,66%"
"Set 00","15.928,39","17.359,71","17.715,80","15.656,58","4,74B","-8,18%"
"Ago 00","17.346,70","16.474,82","17.925,75","16.072,74","6,16B","5,42%"
"Jul 00","16.454,60","16.746,74","17.794,67","16.389,99","4,15B","-1,63%"
"Jun 00","16.727,95","14.967,34","17.396,45","14.967,34","4,76B","11,84%"
"Mai 00","14.956,61","15.596,23","15.944,15","13.555,61","6,27B","-3,74%"
"Abr 00","15.537,60","17.825,98","17.825,98","14.029,35","11,65B","-12,81%"
"Mar 00","17.820,37","17.668,27","19.046,51","16.922,37","13,61B","0,91%"
"Fev 00","17.660,20","16.389,12","18.885,84","16.389,12","12,22B","7,76%"
"Jan 00","16.388,27","17.098,00","18.099,23","15.350,00","11,01B","-4,12%"
"Dez 99","17.092,00","13.784,00","17.105,00","13.556,00","13,31B","24,04%"
"Nov 99","13.779,00","11.701,00","14.054,00","11.685,00","12,61B","17,77%"
"Out 99","11.700,00","11.105,00","11.826,00","10.796,00","10,69B","5,35%"
"Set 99","11.106,00","10.583,00","11.735,00","10.583,00","13,67B","5,12%"
"Ago 99","10.565,00","10.441,00","10.726,00","9.579,00","13,34B","1,18%"
"Jul 99","10.442,00","11.634,00","11.996,00","10.345,00","9,61B","-10,19%"
"Jun 99","11.627,00","11.090,00","12.118,00","10.742,00","11,81B","4,84%"
"Mai 99","11.090,00","11.351,00","12.589,00","10.563,00","11,51B","-2,30%"
"Abr 99","11.351,00","10.697,00","11.827,00","10.676,00","6,68B","6,12%"
"Mar 99","10.696,00","8.912,00","11.101,00","8.912,00","8,19B","20,03%"
"Fev 99","8.911,00","8.187,00","9.267,00","8.160,00","11,53B","9,06%"
"Jan 99","8.171,00","6.787,00","8.540,00","4.797,00","9,74B","20,45%"
"Dez 98","6.784,00","8.631,00","8.738,00","6.378,00","141,19B","-21,40%"
"Nov 98","8.631,00","7.047,00","9.128,00","7.047,00","159,98B","22,48%"
"Out 98","7.047,00","6.593,00","7.630,00","5.878,00","181,08B","6,89%"
"Set 98","6.593,00","6.472,00","7.453,00","4.576,00","246,80B","1,87%"
"Ago 98","6.472,00","10.705,00","10.705,00","6.454,00","208,66B","-39,55%"
"Jul 98","10.707,00","9.680,00","11.156,00","9.680,00","190,24B","10,63%"
"Jun 98","9.678,00","9.750,00","10.563,00","9.062,00","195,42B","-1,72%"
"Mai 98","9.847,00","11.719,00","11.789,00","8.971,00","175,22B","-15,67%"
"Abr 98","11.677,00","11.947,00","12.339,00","11.051,00","227,73B","-2,26%"
"Mar 98","11.947,00","10.572,00","12.112,00","10.572,00","193,70B","13,02%"
"Fev 98","10.571,00","9.913,00","10.626,00","9.716,00","129,46B","8,76%"
"Jan 98","9.720,00","10.197,00","10.655,00","8.441,00","145,29B","-4,68%"
"Dez 97","10.197,00","9.395,00","10.212,00","8.852,00","160,59B","8,54%"
"Nov 97","9.395,00","8.986,00","10.334,00","7.522,00","202,42B","4,55%"
"Out 97","8.986,00","11.797,00","13.037,00","8.456,00","214,77B","-23,83%"
"Set 97","11.797,00","10.609,00","12.020,00","9.921,00","138,66B","11,20%"
"Ago 97","10.609,00","12.872,00","12.872,00","10.518,00","137,39B","-17,58%"
"Jul 97","12.872,00","12.568,00","14.005,00","10.765,00","179,02B","2,42%"
"Jun 97","12.568,00","11.345,00","13.223,00","10.988,00","234,83B","10,78%"
"Mai 97","11.345,00","9.982,00","11.458,00","9.982,00","230,05B","13,65%"
"Abr 97","9.982,00","9.044,00","10.000,00","8.982,00","214,61B","10,37%"
"Mar 97","9.044,00","8.829,00","9.568,00","8.707,00","206,07B","2,44%"
"Fev 97","8.828,70","7.964,70","9.181,10","7.963,30","271,58B","10,85%"
"Jan 97","7.964,70","7.039,90","7.991,80","6.952,50","226,36B","13,14%"
"Dez 96","7.039,90","6.666,10","7.052,50","6.599,10","209,69B","5,61%"
"Nov 96","6.666,10","6.533,20","6.757,80","6.478,90","203,73B","2,03%"
"Out 96","6.533,20","6.446,90","6.851,50","6.316,90","225,97B","1,34%"
"Set 96","6.446,90","6.259,40","6.631,50","6.132,30","183,50B","3,00%"
"Ago 96","6.259,40","6.123,30","6.400,80","6.016,00","220,82B","2,22%"
"Jul 96","6.123,30","6.043,90","6.713,20","5.879,40","320,77B","1,31%"
"Jun 96","6.043,90","5.728,00","6.303,50","5.397,80","256,55B","5,52%"
"Mai 96","5.728,00","5.164,10","5.764,20","5.097,30","250,63B","10,92%"
"Abr 96","5.164,10","4.954,90","5.175,20","4.831,20","178,55B","4,22%"
"Mar 96","4.954,90","4.957,70","5.224,40","4.595,60","290,73B","-0,06%"
"Fev 96","4.957,70","5.151,50","5.410,90","4.939,60","235,54B","-3,76%"
"Jan 96","5.151,50","4.299,00","5.171,60","4.299,00","290,70B","19,83%"
"Dez 95","4.299,00","4.378,60","4.397,30","3.957,60","195,90B","-1,82%"
"Nov 95","4.378,60","4.128,40","4.390,70","3.713,70","198,83B","6,06%"
"Out 95","4.128,40","4.670,10","4.684,90","3.922,70","216,34B","-11,60%"
"Set 95","4.670,10","4.310,50","4.885,10","4.310,50","240,46B","8,34%"
"Ago 95","4.310,50","3.877,50","4.554,60","3.817,70","248,60B","11,17%"
"Jul 95","3.877,50","3.603,40","4.079,50","3.574,40","199,84B","7,61%"
"Jun 95","3.603,40","3.720,60","4.067,30","3.516,00","248,84B","-3,15%"
"Mai 95","3.720,60","3.813,70","4.185,10","3.688,90","234,26B","-2,44%"
"Abr 95","3.813,70","2.979,00","3.923,60","2.867,10","210,99B","28,02%"
"Mar 95","2.979,00","3.270,90","3.494,90","2.110,00","242,62B","-8,92%"
"Fev 95","3.270,90","3.885,00","4.067,20","2.762,00","179,37B","-15,81%"
"Jan 95","3.885,00","4.353,90","4.397,60","3.108,60","195,74B","-10,77%"
"Dez 94","4.353,90","4.656,00","5.023,40","3.990,80","213,19B","-6,49%"
"Nov 94","4.656,00","4.744,90","5.086,20","4.219,20","140,91B","-2,96%"
"Out 94","4.797,90","5.484,00","5.528,30","4.283,70","177,27B","-12,51%"
"Set 94","5.484,00","5.329,50","5.637,70","4.792,50","235,50B","2,90%"
"Ago 94","5.329,50","4.201,30","5.443,30","4.091,10","188,57B","26,85%"
"Jul 94","4.201,30","3.623,20","4.272,80","3.486,00","124,34B","15,96%"
"Jun 94","3.623,20","2.467,20","3.885,70","2.437,10","128,57B","46,85%"
"Mai 94","2.467,20","1.708,40","2.516,90","1.325,50","148,50B","44,42%"
"Abr 94","1.708,40","1.515,60","1.732,60","1.280,20","180,45B","12,72%"
"Mar 94","1.515,60","1.053,90","1.542,20","1.013,80","289,95B","43,81%"
"Fev 94","1.053,90","740,56","1.116,00","740,56","278,07B","42,31%"
"Jan 94","740,56","375,45","741,72","373,43","371,22B","97,25%"
